Course and Section,Meeting Pattern,,,
AR4100 Drawing (AR4100-001),C13L5,,,
AR4110 Painting (AR4110-001),D135L,,,
AR4200 Digital and Darkroom Photography (AR4200-001),H24,,,
AR4500 Advanced Drawing (AR4500-001),M123,,,
AR4510 Advanced Painting (AR4510-001),M123,,,
AR4520 Advanced Studio Art (AR4520-001),M123,,,
AS4051 American Studies I (AS4051-001),A12L34,,,
AS4051 American Studies I (AS4051-002),A12L34,,,
AS4051 American Studies I (AS4051-003),A12L34,,,
AS4051 American Studies I (AS4051-004),A12L34,,,
AS4051 American Studies I (AS4051-005),B124L5,,,
AS4051 American Studies I (AS4051-006),B124L5,,,
AS4051 American Studies I (AS4051-007),B124L5,,,
AS4051 American Studies I (AS4051-008),B124L5,,,
AS4051 American Studies I (AS4051-009),C13L45,,,
AS4051 American Studies I (AS4051-010),C13L45,,,
AS4051 American Studies I (AS4051-011),C13L45,,,
AS4051 American Studies I (AS4051-012),C13L45,,,
AS4051 American Studies I (AS4051-013),D1235L,,,
AS4051 American Studies I (AS4051-014),D1235L,,,
AS4051 American Studies I (AS4051-015),E12L35,,,
AS4051 American Studies I (AS4051-016),E12L35,,,
AS4051 American Studies I (AS4051-017),E12L35,,,
AS4051 American Studies I (AS4051-018),E12L35,,,
AS4051 American Studies I (AS4051-019),F134L5,,,
AS4051 American Studies I (AS4051-020),F134L5,,,
AS4051 American Studies I (AS4051-021),F134L5,,,
AS4051 American Studies I (AS4051-022),G13L5L,,,
AS4051W Writing and American Studies I (AS4051W-001),A12L34,,, 
AS4051W Writing and American Studies I (AS4051W-002),A12L34,,,
AS4051W Writing and American Studies I (AS4051W-003),B124L5,,,
AS4051W Writing and American Studies I (AS4051W-004),C13L45,,,
AS4051W Writing and American Studies I (AS4051W-005),C13L45,,,
AS4051W Writing and American Studies I (AS4051W-006),F134L5,,,
BI3580 Classical Genetics (*M*) (BI3580-001),C13L45,,,
BI3640 Developmental Biology (*R*) (BI3640-001),A12L34,,,
BI3640 Developmental Biology (*R*) (BI3640-002),E12L35,,,
BI4010 Anatomy & Physiology (BI4010-001),B124L5,,,
BI4010 Anatomy & Physiology (BI4010-002),F134L5,,,
BI4010 Anatomy & Physiology (BI4010-003),D1235L,,,
BI4020 Ecology (*R*) (BI4020-001),C13L45,,,
BI4020 Ecology (*R*) (BI4020-002),B124L5,,,
BI4040 Climate Change Biology (*M*) (BI4040-001),A12L34,,,
BI4040 Climate Change Biology (*M*) (BI4040-002),E12L35,,,
BI4110 Molecular Genetics (*R*) (BI4110-001),B124L5,,,
BI4110 Molecular Genetics (*R*) (BI4110-002),F134L5,,,
BI4140 Molecular & Cellular Biol (BI4140-001),C13L45,,,
BI4140 Molecular & Cellular Biol (BI4140-002),E12L35,,,
BI4210 AP Biology (I) (*R*) (BI4210-001),A12L34,,,
BI4210 AP Biology (I) (*R*) (BI4210-002),E12L35,,,
BI4922 Research in Biology III (*R*) (BI4922-001),F134L5G13L5L,,,
BI4922 Research in Biology III (*R*) (BI4922-002),F134L5G13L5L,,,
CH3500 Chemistry Core - Atoms & Molecules (CH3500-001),D1235L,,,
CH3500 Chemistry Core - Atoms & Molecules (CH3500-002),B124L5,,,
CH3500 Chemistry Core - Atoms & Molecules (CH3500-003),F134L5,,,
CH4020 AP Chemistry (I): Atoms & Molecules (*M*) (CH4020-001),C13L45,,,
CH4020 AP Chemistry (I): Atoms & Molecules (*M*) (CH4020-002),B124L5,,,
CH4020 AP Chemistry (I): Atoms & Molecules (*M*) (CH4020-003),D1235L,,,
CH4020 AP Chemistry (I): Atoms & Molecules (*M*) (CH4020-004),B124L5,,,
CH4020 AP Chemistry (I): Atoms & Molecules (*M*) (CH4020-005),F134L5,,,
CH4020 AP Chemistry (I): Atoms & Molecules (*M*) (CH4020-006),D1235L,,,
CH4020 AP Chemistry (I): Atoms & Molecules (*M*) (CH4020-007),F134L5,,,
CH4020 AP Chemistry (I): Atoms & Molecules (*M*) (CH4020-008),A12L34,,,
CH4020 AP Chemistry (I): Atoms & Molecules (*M*) (CH4020-009),E12L35,,,
CH4020 AP Chemistry (I): Atoms & Molecules (*M*) (CH4020-010),C13L45,,,
CH4020 AP Chemistry (I): Atoms & Molecules (*M*) (CH4020-011),E12L35,,,
CH4120 AP Chemistry (II): Kinetics & Energy (CH4120-001),A12L34,,,
CH4130 Organic Chemistry (CH4130-001),C13L45,,,
CH4130 Organic Chemistry (CH4130-002),B124L5,,,
CH4280 Materials Chemistry (*R*) (CH4280-001),A12L34,,,
CH4911 Research Computational Sci II (CH4911-001),G13L5L,,,
CH4922 Research Chem III (*R*) (CH4922-001),F134L5G13L5L,,,
CH4922 Research Chem III (*R*) (CH4922-002),F134L5G13L5L,,,
CN3051 Journeys into Chinese I (CN3051-001),C1345,,,
CN3051 Journeys into Chinese I (CN3051-002),D1235,,,
CN3651 Navigating in Chinese + Global Understanding I (CN3651-001),C13L45,,,
CN3651 Navigating in Chinese + Global Understanding I (CN3651-002),D1235L,,,
CN4051 Advanced Chinese I (CN4051-001),A1234,,,
CN4301 Topics in Chinese I (CN4301-001),B1245,,,
CN4651 Readings in Chinese with Topics I (CN4651-001),B1245,,,
CN4851 AP Chinese Language and Culture I (CN4851-001),B1245,,,
CS4020 Web Development (CS4020-001),D1235L,,,
CS4020 Web Development (CS4020-002),E12L35,,,
CS4020 Web Development (CS4020-003),C13L45,,,
CS4020 Web Development (CS4020-006),A12L34,,,
CS4040 Game Design and Simulation (CS4040-001),A12L34,,,
CS4040 Game Design and Simulation (CS4040-002),E12L35,,,
"CS4070/AR4070 Art, Technology, and Computing (CS4070/AR4070-001)",G13L5L,,,
CS4240 Procedural and Object-Oriented Programming (CS4240-001),B124L5,,,
CS4240 Procedural and Object-Oriented Programming (CS4240-002),F134L5,,,
CS4300 Topics in Computer Science: Human and Computer Interaction (CS4300-001),F134L5,,,
CS4340 Data Structures with C (CS4340-001),C13L45,,,
DR4101 Theater Performance Workshop (DR4101-001),H3,,,
EE3100 CAD/CAM (EE3100-001),A12L34,,,
EE4000 Mechanical Engineering (EE4000-001),B124L5,,,
EE4000 Mechanical Engineering (EE4000-002),F134L5,,,
EE4020 Electrical Engineering (EE4020-001),B124L5,,,
EE4020 Electrical Engineering (EE4020-002),D1235L,,,
EE4040 Architecture (EE4040-001),G13L5L,,,
EE4080 Biomedical Engineering (EE4080-001),A12L34,,,
EE4080 Biomedical Engineering (EE4080-002),C13L45,,,
EE4100 Introductory Robotics (EE4100-001),D1235L,,,
EN4000 Creative Writing (EN4000-002),C13L5,,,
EN4200 African Studies: Pre-colonial Africa (EN4200-001),A12L4,,,
EN4200 African Studies: Pre-colonial Africa (EN4200-002),B124L,,,
EN4211 East Asian Studies I (EN4211-001),C13L5,,,
EN4211 East Asian Studies I (EN4211-002),E12L5,,,
EN4220 African Studies: North Africa and the Middle East (EN4220-001),A12L4,,,
EN4220 African Studies: North Africa and the Middle East (EN4220-002),E12L5,,,
EN4241 Western European Cultural Studies I (EN4241-001),H13,,,
EN4241 Western European Cultural Studies I (EN4241-002),I13,,,
"EN4251 Western Civilizations I: Wisdom, Revelation, Reason, and Doubt (EN4251-001)",D135L,,,
EN4410 British Literature and Culture (EN4410-001),F14L5,,,
EN4420 Classical Myth: Epic and Tragedy (EN4420-001),G135L,,,
EN4430 Modern World Fiction (EN4430-001),H24,,,
EN4460 Southern Studies (EN4460-001),G13L5,,,
EN4470 STEM and the Stage (EN4470-001),G13L5,,,
EN4481 Topics in Literature I (EN4481-001),D135L,,,
EN4610 Research in the Humanities (EN4610-001),H13,,,
EN4610 Research in the Humanities (EN4610-002),H24,,,
FR3051 Journeys into French I (FR3051-001),A1234,,,
FR3651 Navigating in French I (FR3651-001),B1245,,,
FR4051 Advanced French for Global Applications I (FR4051-001),G13L5,,,
HU4000 Entrepreneurship (HU4000-001),H4,,,
HU4410 Critical Race Theory (HU4410-003),E12L5,,,
HU4460 Topics in Humanities I (HU4460-001),E12L5,,,
"HU4490 Women's, Gender, and Sexuality Studies (HU4490-001)",F14L5,,,
JA3051 Journeys into Japanese I (JA3051-001),C13L5,,,
JA3651 Navigating in Japanese I (JA3651-001),D135L,,,
LA3051 Latin Elements I (LA3051-001),A12L4,,,
LA3051 Latin Elements I (LA3051-002),G13L5,,,
LA3650 Latin Boot Camp (LA3650-001),B14L5,,,
LA4651 Sallust and Cicero I (LA4651-001),D135L,,,
MA4000 Precalculus & Modeling w/ Advanced Topics I (MA4000-001),A12L34,,,
MA4000 Precalculus & Modeling w/ Advanced Topics I (MA4000-002),B124L5,,,
MA4000 Precalculus & Modeling w/ Advanced Topics I (MA4000-003),C13L45,,,
MA4000 Precalculus & Modeling w/ Advanced Topics I (MA4000-004),E12L35,,,
MA4000 Precalculus & Modeling w/ Advanced Topics I (MA4000-005),D1235L,,,
MA4020 AP Calculus AB w/ Advanced Topics I (MA4020-001),B124L5,,,
MA4020 AP Calculus AB w/ Advanced Topics I (MA4020-002),F134L5,,,
MA4030 AP Calculus BC w/ Advanced Topics I (MA4030-001),A12L34,,,
MA4030 AP Calculus BC w/ Advanced Topics I (MA4030-002),B124L5,,,
MA4030 AP Calculus BC w/ Advanced Topics I (MA4030-003),B124L5,,,
MA4030 AP Calculus BC w/ Advanced Topics I (MA4030-004),C13L45,,,
MA4030 AP Calculus BC w/ Advanced Topics I (MA4030-005),C13L45,,,
MA4030 AP Calculus BC w/ Advanced Topics I (MA4030-006),D1235L,,,
MA4030 AP Calculus BC w/ Advanced Topics I (MA4030-007),E12L35,,,
MA4030 AP Calculus BC w/ Advanced Topics I (MA4030-008),E12L35,,,
MA4030 AP Calculus BC w/ Advanced Topics I (MA4030-009),F134L5,,,
MA4030 AP Calculus BC w/ Advanced Topics I (MA4030-010),F134L5,,,
MA4032 AP Calculus BC w/ Advanced Topics II (MA4032-001),F134L5,,,
MA4050 Modeling with Differential Equations (MA4050-001),A12L34,,,
MA4050 Modeling with Differential Equations (MA4050-002),E12L35,,,
MA4060 Multivariable Calculus (MA4060-001),C13L45,,,
MA4060 Multivariable Calculus (MA4060-002),D1235L,,,
MA4060 Multivariable Calculus (MA4060-003),E12L35,,,
MA4100 AP Statistics w/ Advanced Topics I (MA4100-001),C13L45,,,
MA4100 AP Statistics w/ Advanced Topics I (MA4100-002),D1235L,,,
MA4100 AP Statistics w/ Advanced Topics I (MA4100-003),F134L5,,,
MA4110 Foundations of Data Science (MA4110-001),A12L34,,,
MA4110 Foundations of Data Science (MA4110-002),D1235L,,,
MA4220 Mathematical Modeling (MA4220-001),B124L5,,,
MA4220 Mathematical Modeling (MA4220-002),D1235L,,,
MA4500 Graph Theory with REX Math (MA4500-001),A12L34,,,
MA4500 Graph Theory with REX Math (MA4500-002),E12L35,,,
MR4050 Mentorship: Senior Research I (MR4050-001),E2LF4LH4,,,
MR4050 Mentorship: Senior Research I (MR4050-002),F14LE2L,,,
MU3500 Classical Piano and Guitar (MU3500-001),E135,,,
MU3500 Classical Piano and Guitar (MU3500-002),G135,,,
MU3500 Classical Piano and Guitar (MU3500-003),D135,,,
MU4100 Chorale (MU4100-001),H13,,,
MU4110 Wind Ensemble (MU4110-001),H24,,,
MU4110 Wind Ensemble (MU4110-002),M12345,,,
MU4120 Jazz Performance Workshop (MU4120-001),C13L5,,,
MU4130 Orchestra (MU4130-001),H2C3L5,,,
MU4130 Orchestra (MU4130-002),H2F35,,,
MU4130 Orchestra (MU4130-003),M12345,,,
MU4300 Music Theory and Composition (MU4300-001),M1,,,
PA1000 Racquet Sports I (PA1000-001),A2L,,,
PA1001 Racquet Sports II (PA1001-001),E2L,,,
PA1003 Disc Sports (PA1003-001),C3L,,,
PA1003 Disc Sports (PA1003-001),C3L,,,
PA1004 Archery (PA1004-001),B4L,,,
PA1004 Archery (PA1004-002),F4L,,,
PA1005 Weight Trng/Sprts & Fitness (PA1005-001),G3L,,,
PA1006 Team Sports (PA1006-001),D5L,,,
PA1006 Team Sports (PA1006-002),G5L,,,
PA1007 Pilates & Yoga (PA1007-001),A2L,,,
PA1007 Pilates & Yoga (PA1007-002),E2L,,,
PA1008 Self Defense (PA1008-001),C3L,,,
PA1009 Hiking (PA1009-001),A2L,,,
PH3500 Physics Core: Mechanics (PH3500-001),A12L34,,,
PH3500 Physics Core: Mechanics (PH3500-002),E12L35,,,
PH3500 Physics Core: Mechanics (PH3500-003),C13L45,,,
PH3500 Physics Core: Mechanics (PH3500-004),D1235L,,,
PH3500 Physics Core: Mechanics (PH3500-005),B124L5,,,
PH3500 Physics Core: Mechanics (PH3500-006),F134L5,,,
PH4000 Physics Core: E&M (PH4000-001),F134L5,,,
PH4020 Physics Core: Mechanics (Math Intensive) (*M*) (PH4020-001),C13L45,,,
PH4020 Physics Core: Mechanics (Math Intensive) (*M*) (PH4020-002),B124L5,,,
PH4020 Physics Core: Mechanics (Math Intensive) (*M*) (PH4020-003),F134L5,,,
PH4020 Physics Core: Mechanics (Math Intensive) (*M*) (PH4020-004),A12L34,,,
PH4020 Physics Core: Mechanics (Math Intensive) (*M*) (PH4020-005),E12L35,,,
PH4020 Physics Core: Mechanics (Math Intensive) (*M*) (PH4020-006),D1235L,,,
PH4020 Physics Core: Mechanics (Math Intensive) (*M*) (PH4020-007),E12L35,,,
PH4120 Physics Core: E&M (Math Intensive) (*M*) (PH4120-001),C13L45,,,
PH4120 Physics Core: E&M (Math Intensive) (*M*) (PH4120-002),B124L5,,,
PH4130 Computational Physics (PH4130-001),C13L45,,,
PH4180 Astrophysics (*R*) (PH4180-001),D1235L,,,
PH4240 AP Physics C: Mechanics (PH4240-001),A12L34,,,
PH4250 Modern Physics (PH4250-001),D1235L,,,
PH4922 Research in Physics III (*R*) (PH4922-001),F134L5G13L5L,,,
RE1002 Cornerstone (RE1002-001),A2,,,
RE1002 Cornerstone (RE1002-002),A3,,,
RE1002 Cornerstone (RE1002-003),A4,,,
RE1002 Cornerstone (RE1002-004),B4,,,
RE1002 Cornerstone (RE1002-005),B4,,,
RE1002 Cornerstone (RE1002-006),C3,,,
RE1002 Cornerstone (RE1002-007),C3,,,
RE1002 Cornerstone (RE1002-008),C4,,,
RE1002 Cornerstone (RE1002-009),D2,,,
RE1002 Cornerstone (RE1002-010),D3,,,
RE1002 Cornerstone (RE1002-011),E2,,,
RE1002 Cornerstone (RE1002-012),E3,,,
RE1002 Cornerstone (RE1002-013),F3,,,
RE1002 Cornerstone (RE1002-014),F4,,,
RE1002 Cornerstone (RE1002-015),G3,,,
RE1002 Cornerstone (RE1002-016),B2,,,
RE1002 Cornerstone (RE1002-017),F3,,,
RE1002 Cornerstone (RE1002-018),G3,,,
RE1010 Exploring MultiCultural Amer (RE1010-001),A2,,,
RE1010 Exploring MultiCultural Amer (RE1010-002),E3,,,
RE1012 Public Speaking (RE1012-001),C3,,,
RE1012 Public Speaking (RE1012-002),E2,,,
RE1018 Excellence in Leadership (RE1018-001),G3,,,
RE1020 Financial Planning (RE1020-001),A4,,,
RE1020 Financial Planning (RE1020-002),B2,,,
RE1020 Financial Planning (RE1020-003),D3,,,
RE1020 Financial Planning (RE1020-004),F3,,,
RE1020 Financial Planning (RE1020-005),G3,,,
SE4001 Emergency Care (SE4001-001),B124L,,,
SEM0002 Precalculus Co-Requisite (SEM0002-001),G13L5,,,
SEM0004 Calculus Co-Requisite (SEM0004-001),G13L,,,
SEM0004 Calculus Co-Requisite (SEM0004-002),G13L,,,
SP3051 Journeys into Spanish I (SP3051-002),D1235,,,
SP3051 Journeys into Spanish I (SP3051-003),E1235,,,
SP3651 Navigating in Spanish I (SP3651-001),B1245,,,
SP3651 Navigating in Spanish I (SP3651-002),E1235,,,
SP3651 Navigating in Spanish I (SP3651-003),D1235,,,
SP3651 Navigating in Spanish I (SP3651-004),B1245,,,
SP4051 Advanced Spanish for Global Applications I (SP4051-001),C1345,,,
SP4051 Advanced Spanish for Global Applications I (SP4051-002),A1234,,,
SP4651 Readings in Spanish with Topics I (SP4651-001),G135L,,,
SS4000 International Relations (SS4000-001),D135,,,
SS4020 Sociology (SS4020-001),B124,,,
SS4030 Medical Sociology (SS4030-001),E135,,,
SS4050 AP Psychology (SS4050-001),D1235,,,
SS4060 AP Microeconomics (SS4060-002),G135L,,,